ProjID,Ship,Leg,TimeZone,StartDate,EndDate,DaysAtSea,https://en.wikipedia.org/wiki/List_of_tz_database_time_zones
OES2303,OES,1,US/Hawaii,7/22/2023,7/28/2023,7,
OES2303,OES,2,US/Hawaii,8/4/2023,8/11/2023,8,
OES2303,OES,2,US/Samoa,8/12/2023,8/23/2023,12,
OES2303,OES,2,US/Hawaii,8/24/2023,9/1/2023,9,
OES2303,OES,3,US/Hawaii,9/7/2023,9/13/2023,7,
OES2303,OES,3,US/Samoa,9/14/2023,9/25/2023,12,
OES2303,OES,3,US/Hawaii,9/26/2023,10/3/2023,8,
OES2303,OES,4,US/Hawaii,10/12/2023,11/2/2023,22,
LSK2401,LSK,1,US/Pacific,10/24/2023,10/26/2023,3,
LSK2401,LSK,1,US/Alaska,10/27/2023,10/31/2023,5,
LSK2401,LSK,1,US/Hawaii,11/1/2023,11/5/2023,5,
OES2303,OES,5,US/Hawaii,11/7/2023,11/27/2023,21,
LSK2401,LSK,2,US/Hawaii,11/9/2023,12/5/2023,27,
